,rule.tags,rule.security_severity_level,rule.name,rule.description,counts
0,"['cwe-020', 'cwe-116', 'cwe-185', 'cwe-186']",high,py/bad-tag-filter,Bad HTML filtering regexp,2
1,['cwe-020'],high,py/incomplete-hostname-regexp,Incomplete regular expression for hostnames,2
2,"['cwe-022', 'cwe-023', 'cwe-036', 'cwe-073', 'cwe-099']",high,py/path-injection,Uncontrolled data used in path expression,37
3,"['cwe-1333', 'cwe-400', 'cwe-730']",high,py/polynomial-redos,Polynomial regular expression used on uncontrolled data,5
4,"['cwe-1333', 'cwe-400', 'cwe-730']",high,py/redos,Inefficient regular expression,20
5,['cwe-20'],high,py/incomplete-url-substring-sanitization,Incomplete URL substring sanitization,19
6,"['cwe-215', 'cwe-489']",high,py/flask-debug,Flask app is run in debug mode,10
7,['cwe-295'],high,py/paramiko-missing-host-key-validation,Accepting unknown SSH host keys when using Paramiko,6
8,"['cwe-312', 'cwe-315', 'cwe-359']",high,py/clear-text-storage-sensitive-data,Clear-text storage of sensitive information,19
9,"['cwe-312', 'cwe-359', 'cwe-532']",high,py/clear-text-logging-sensitive-data,Clear-text logging of sensitive information,31
10,"['cwe-327', 'cwe-328', 'cwe-916']",high,py/weak-sensitive-data-hashing,Use of a broken or weak cryptographic hashing algorithm on sensitive data,11
11,['cwe-327'],high,py/insecure-default-protocol,Default version of SSL/TLS may be insecure,4
12,['cwe-327'],high,py/insecure-protocol,Use of insecure SSL/TLS version,8
13,['cwe-377'],high,py/insecure-temporary-file,Insecure temporary file,28
